operator_id,operator,year,metric_key,status
reliance_jio,Reliance Jio,2017,value_of_sales_and_services,source_gap_confirmed
reliance_jio,Reliance Jio,2017,revenue_from_operations,source_gap_confirmed
reliance_jio,Reliance Jio,2017,ebitda,source_gap_confirmed
reliance_jio,Reliance Jio,2017,mobile_arpu,source_gap_confirmed
reliance_jio,Reliance Jio,2017,mobile_dou,source_gap_confirmed
reliance_jio,Reliance Jio,2017,total_data_traffic,source_gap_confirmed
reliance_jio,Reliance Jio,2017,5g_network_subscribers,not_collected
reliance_jio,Reliance Jio,2017,connected_homes,not_collected
reliance_jio,Reliance Jio,2017,5g_base_stations,not_collected
reliance_jio,Reliance Jio,2018,total_customers,available
reliance_jio,Reliance Jio,2018,value_of_sales_and_services,available
reliance_jio,Reliance Jio,2018,revenue_from_operations,source_gap_confirmed
reliance_jio,Reliance Jio,2018,ebitda,source_gap_confirmed
reliance_jio,Reliance Jio,2018,mobile_arpu,source_gap_confirmed
reliance_jio,Reliance Jio,2018,mobile_dou,source_gap_confirmed
reliance_jio,Reliance Jio,2018,total_data_traffic,source_gap_confirmed
reliance_jio,Reliance Jio,2018,5g_network_subscribers,not_collected
reliance_jio,Reliance Jio,2018,connected_homes,not_collected
reliance_jio,Reliance Jio,2018,5g_base_stations,not_collected
reliance_jio,Reliance Jio,2019,total_customers,available
reliance_jio,Reliance Jio,2019,value_of_sales_and_services,available
reliance_jio,Reliance Jio,2019,revenue_from_operations,source_gap_confirmed
reliance_jio,Reliance Jio,2019,ebitda,source_gap_confirmed
reliance_jio,Reliance Jio,2019,mobile_arpu,available
reliance_jio,Reliance Jio,2019,mobile_dou,available
reliance_jio,Reliance Jio,2019,total_data_traffic,source_gap_confirmed
reliance_jio,Reliance Jio,2019,5g_network_subscribers,not_collected
reliance_jio,Reliance Jio,2019,connected_homes,not_collected
reliance_jio,Reliance Jio,2019,5g_base_stations,not_collected
reliance_jio,Reliance Jio,2020,total_customers,available
reliance_jio,Reliance Jio,2020,value_of_sales_and_services,available
reliance_jio,Reliance Jio,2020,revenue_from_operations,available
reliance_jio,Reliance Jio,2020,ebitda,available
reliance_jio,Reliance Jio,2020,mobile_arpu,available
reliance_jio,Reliance Jio,2020,mobile_dou,available
reliance_jio,Reliance Jio,2020,total_data_traffic,source_gap_confirmed
reliance_jio,Reliance Jio,2020,5g_network_subscribers,not_collected
reliance_jio,Reliance Jio,2020,connected_homes,not_collected
reliance_jio,Reliance Jio,2020,5g_base_stations,not_collected
reliance_jio,Reliance Jio,2021,total_customers,available
reliance_jio,Reliance Jio,2021,value_of_sales_and_services,available
reliance_jio,Reliance Jio,2021,revenue_from_operations,available
reliance_jio,Reliance Jio,2021,ebitda,available
reliance_jio,Reliance Jio,2021,mobile_arpu,available
reliance_jio,Reliance Jio,2021,mobile_dou,available
reliance_jio,Reliance Jio,2021,total_data_traffic,available
reliance_jio,Reliance Jio,2021,5g_network_subscribers,not_collected
reliance_jio,Reliance Jio,2021,connected_homes,source_gap_confirmed
reliance_jio,Reliance Jio,2021,5g_base_stations,not_collected
reliance_jio,Reliance Jio,2022,total_customers,available
reliance_jio,Reliance Jio,2022,value_of_sales_and_services,available
reliance_jio,Reliance Jio,2022,revenue_from_operations,available
reliance_jio,Reliance Jio,2022,ebitda,available
reliance_jio,Reliance Jio,2022,mobile_arpu,available
reliance_jio,Reliance Jio,2022,mobile_dou,available
reliance_jio,Reliance Jio,2022,total_data_traffic,available
reliance_jio,Reliance Jio,2022,5g_network_subscribers,not_collected
reliance_jio,Reliance Jio,2022,connected_homes,available
reliance_jio,Reliance Jio,2022,5g_base_stations,not_collected
reliance_jio,Reliance Jio,2023,total_customers,available
reliance_jio,Reliance Jio,2023,value_of_sales_and_services,available
reliance_jio,Reliance Jio,2023,revenue_from_operations,available
reliance_jio,Reliance Jio,2023,ebitda,available
reliance_jio,Reliance Jio,2023,mobile_arpu,available
reliance_jio,Reliance Jio,2023,mobile_dou,available
reliance_jio,Reliance Jio,2023,total_data_traffic,available
reliance_jio,Reliance Jio,2023,5g_network_subscribers,source_gap_confirmed
reliance_jio,Reliance Jio,2023,connected_homes,available
reliance_jio,Reliance Jio,2023,5g_base_stations,available
reliance_jio,Reliance Jio,2024,total_customers,available
reliance_jio,Reliance Jio,2024,value_of_sales_and_services,available
reliance_jio,Reliance Jio,2024,revenue_from_operations,available
reliance_jio,Reliance Jio,2024,ebitda,available
reliance_jio,Reliance Jio,2024,mobile_arpu,available
reliance_jio,Reliance Jio,2024,mobile_dou,available
reliance_jio,Reliance Jio,2024,total_data_traffic,available
reliance_jio,Reliance Jio,2024,5g_network_subscribers,available
reliance_jio,Reliance Jio,2024,connected_homes,available
reliance_jio,Reliance Jio,2024,5g_base_stations,available
reliance_jio,Reliance Jio,2025,total_customers,available
reliance_jio,Reliance Jio,2025,value_of_sales_and_services,available
reliance_jio,Reliance Jio,2025,revenue_from_operations,available
