subject,legal_name,ticker,metric_key,metric_zh,year,value,unit
中国铁塔,China Tower Corporation Limited,0788.HK,operating_income,经营利润/营业利润,2023,"14,898",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,operating_income,经营利润/营业利润,2024,"15,804",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,operating_income,经营利润/营业利润,2025,"17,187",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,operating_margin,经营利润率,2023,15.85%,millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,operating_margin,经营利润率,2024,16.16%,millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,operating_margin,经营利润率,2025,17.12%,millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,net_income,净利润/股东应占利润,2023,"9,750",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,net_income,净利润/股东应占利润,2024,"10,729",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,net_income,净利润/股东应占利润,2025,"11,630",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,ebitda,EBITDA,2023,"52,513",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,ebitda,EBITDA,2024,"54,646",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,ebitda,EBITDA,2025,"54,676",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,ebitda_margin,EBITDA率,2023,55.86%,millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,ebitda_margin,EBITDA率,2024,55.89%,millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,ebitda_margin,EBITDA率,2025,54.45%,millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,operating_cash_flow,经营现金流,2023,"32,840",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,operating_cash_flow,经营现金流,2024,"49,468",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,operating_cash_flow,经营现金流,2025,"56,116",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,capital_expenditures,资本开支,2023,"-33,464",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,capital_expenditures,资本开支,2024,"-29,783",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,capital_expenditures,资本开支,2025,"-30,510",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,free_cash_flow,自由现金流,2023,-624,millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,free_cash_flow,自由现金流,2024,"19,685",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,free_cash_flow,自由现金流,2025,"25,606",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,cash_and_equivalents,现金及等价物,2023,"3,955",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,cash_and_equivalents,现金及等价物,2024,"2,598",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,cash_and_equivalents,现金及等价物,2025,"12,312",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,total_assets,总资产,2023,"326,007",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,total_assets,总资产,2024,"332,834",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,total_assets,总资产,2025,"336,579",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,total_debt,总债务,2023,"94,626",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,total_debt,总债务,2024,"92,542",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,total_debt,总债务,2025,"90,460",millions CNY
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,revenue,营业收入/收益,2023,"34,330",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,revenue,营业收入/收益,2024,"34,753",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,revenue,营业收入/收益,2025,"36,553",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,revenue_growth_yoy,收入同比增长,2023,0.60%,millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,revenue_growth_yoy,收入同比增长,2024,1.23%,millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,revenue_growth_yoy,收入同比增长,2025,5.18%,millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,gross_profit,毛利,2023,"16,876",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,gross_profit,毛利,2024,"17,043",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,gross_profit,毛利,2025,"17,413",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,gross_margin,毛利率,2023,49.16%,millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,gross_margin,毛利率,2024,49.04%,millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,gross_margin,毛利率,2025,47.64%,millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,operating_income,经营利润/营业利润,2023,"7,746",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,operating_income,经营利润/营业利润,2024,"8,248",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,operating_income,经营利润/营业利润,2025,"8,289",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,operating_margin,经营利润率,2023,22.56%,millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,operating_margin,经营利润率,2024,23.73%,millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,operating_margin,经营利润率,2025,22.68%,millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,net_income,净利润/股东应占利润,2023,"4,991",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,net_income,净利润/股东应占利润,2024,"5,070",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,net_income,净利润/股东应占利润,2025,"5,286",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,ebitda,EBITDA,2023,"9,934",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,ebitda,EBITDA,2024,"10,225",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,ebitda,EBITDA,2025,"10,064",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,ebitda_margin,EBITDA率,2023,28.94%,millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,ebitda_margin,EBITDA率,2024,29.42%,millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,ebitda_margin,EBITDA率,2025,27.53%,millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,operating_cash_flow,经营现金流,2023,"11,261",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,operating_cash_flow,经营现金流,2024,"11,911",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,operating_cash_flow,经营现金流,2025,"11,628",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,capital_expenditures,资本开支,2023,"-2,138",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,capital_expenditures,资本开支,2024,"-2,037",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,capital_expenditures,资本开支,2025,"-1,977",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,free_cash_flow,自由现金流,2023,"9,123",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,free_cash_flow,自由现金流,2024,"9,874",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,free_cash_flow,自由现金流,2025,"9,651",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,cash_and_equivalents,现金及等价物,2023,"1,630",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,cash_and_equivalents,现金及等价物,2024,"1,850",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,cash_and_equivalents,现金及等价物,2025,"1,957",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,total_assets,总资产,2023,"112,118",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,total_assets,总资产,2024,"116,813",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,total_assets,总资产,2025,"121,152",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,total_debt,总债务,2023,"47,453",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,total_debt,总债务,2024,"44,395",millions HKD
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,total_debt,总债务,2025,"48,337",millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,revenue,营业收入/收益,2023,"4,896",millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,revenue,营业收入/收益,2024,"4,643",millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,revenue,营业收入/收益,2025,"5,448",millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,revenue_growth_yoy,收入同比增长,2023,0.29%,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,revenue_growth_yoy,收入同比增长,2024,-5.17%,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,revenue_growth_yoy,收入同比增长,2025,17.34%,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,gross_profit,毛利,2023,"3,130",millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,gross_profit,毛利,2024,"3,018",millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,gross_profit,毛利,2025,"3,243",millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,gross_margin,毛利率,2023,63.93%,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,gross_margin,毛利率,2024,65.00%,millions HKD
